"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHI3L2",407.451001545295,3.88963905559372,0.75024360066737,5.18450147676533,2.16593429538439e-07,0.000349678059021502
"ADM",1250.49924304238,1.78878894150087,0.481385770805317,3.71591569586359,0.000202469087824701,0.0382061798193884
"MMP1",917.530117646451,4.45886639038227,0.802679458044202,5.55497757628765,2.77647401033697e-08,5.57733211537522e-05
"HLA-F",1932.38430457561,1.38350082582666,0.37045945804956,3.73455393232684,0.000188048191451498,0.0367121565063541
"ZC3H12A",1985.80134634832,1.98392573977294,0.500970103996417,3.96016793007499,7.48970758360326e-05,0.0180587525517553
"OLFM1",1100.80430798405,3.15565704297265,0.773129955558322,4.08166443465998,4.47143251099357e-05,0.0141238944314645
"CXCL8",1903.26395612749,3.0395370920188,0.634793008086665,4.78823341356626,1.6825588354327e-06,0.00155267097158508
"BIRC3",1876.92538769097,2.27070772039259,0.554027462850151,4.09854722491754,4.15751418979254e-05,0.0140485305064385
"NGFR",1206.25472594797,4.21856778003027,0.881620792630524,4.78501393716359,1.70975468309437e-06,0.00155267097158508
"S100A8",1273.99864928123,2.48037137248711,0.673020601970257,3.68543156810632,0.000228315424771463,0.041467789024117
"STC1",2423.10475773606,2.42942649751881,0.593591239016528,4.09276003052863,4.26268801069436e-05,0.0140765583625884
"EEF1A2",1087.31357988882,5.19872415990177,0.914764993757837,5.68312538780644,1.32255229881773e-08,3.84333698036432e-05
"IDO1",2119.44737298557,3.17345863916522,0.684229974927916,4.63800002257947,3.51796748138337e-06,0.0028397815280278
"CCL2",3974.91597411906,2.38012654734612,0.518690223002405,4.58872452534175,4.45962473186055e-06,0.00318899639988552
"IRF1",3741.80258866792,1.26920704402754,0.353298725735884,3.59244727357539,0.000327586951530923,0.0491535135401978
"SAA1",1824.26375447123,3.57794113360485,0.747598477150767,4.78591281678506,1.70211937019346e-06,0.00155267097158508
"PSMB9",4926.27217348578,1.73337524672973,0.457134947059351,3.79182396331797,0.000149544905578341,0.0310412496864757
"CCL20",5025.2646094489,5.71844832772208,0.945708152109429,6.0467368447305,1.47808885140426e-09,7.15887700363465e-06
"TAP1",5550.02011589204,1.37799617501468,0.345768561214234,3.98531367390829,6.73910416044993e-05,0.0177221745125802
"ERFE",654.904986524999,2.30714659010651,0.627340077781263,3.6776649090654,0.000235378897736651,0.0416260305927182
"IL4I1",4726.71478525927,1.90737073786949,0.522437848903874,3.65090458486372,0.000261318314116914,0.0443582511386422
"H1-2",5665.09434690323,2.14589202380613,0.571578468230774,3.7543262090477,0.000173808388295506,0.0350754983601903
"S100A9",8817.46255211499,3.01250399206153,0.780481767059492,3.85980059907268,0.000113479585921305,0.0253670520528702
"SOD2",14362.3279445922,1.860382151625,0.423384198615994,4.39407554109583,1.11245130639093e-05,0.00621689133917698
"TGM2",25895.8040088326,3.08246948443042,0.671883342444966,4.58780459300181,4.47931607145778e-06,0.00318899639988552
