,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000184647.11,23.07715523,1.351863497,0.176183165,7.673057183,1.68E-14,7.36E-14
ENSG00000184659.5,3.603673865,1.111007013,0.171172472,6.490570597,8.55E-11,2.85E-10
ENSG00000185269.12,104.6815139,1.01466318,0.132842404,7.63809707,2.20E-14,9.56E-14
ENSG00000185275.6,1.834962902,1.326562251,0.238549427,5.560953421,2.68E-08,7.36E-08
ENSG00000185294.7,9.541062446,1.152906575,0.144191279,7.995674798,1.29E-15,6.08E-15
ENSG00000185433.10,36.36009569,1.118955155,0.111296246,10.05384458,8.84E-24,6.95E-23
ENSG00000185479.6,5.858810378,1.20514426,0.493410953,2.442475694,0.014586912,0.022374003
ENSG00000185666.15,1092.783068,1.072539293,0.13190063,8.131419012,4.24E-16,2.07E-15
ENSG00000185863.8,1.265654347,1.575290043,0.262065879,6.011045971,1.84E-09,5.55E-09
ENSG00000185920.16,5189.580154,1.101945014,0.109093237,10.10094706,5.47E-24,4.35E-23
ENSG00000186193.9,2443.621925,1.175797934,0.143433825,8.197494123,2.45E-16,1.22E-15
ENSG00000186226.9,6.19465307,1.954189313,0.246255456,7.935618337,2.09E-15,9.76E-15
ENSG00000186369.10,830.6764654,1.014888718,0.165923782,6.116595861,9.56E-10,2.94E-09
ENSG00000186493.13,355.0068715,1.584454909,0.205949418,7.693417771,1.43E-14,6.32E-14
ENSG00000186676.3,57.88186218,1.200231147,0.234955092,5.108342783,3.25E-07,8.12E-07
ENSG00000186684.14,215.1682925,1.018138325,0.142817926,7.128925317,1.01E-12,3.90E-12
ENSG00000186825.6,4.653650114,1.665480099,0.185477466,8.979420153,2.72E-19,1.63E-18
ENSG00000186832.9,15.10679107,1.204615547,0.386667287,3.115380036,0.001837081,0.003165661
ENSG00000186847.6,20.13931438,1.415388731,0.435625062,3.249098488,0.001157714,0.002045967
