,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000181773.7,140.5986059,-1.93080595,0.140753283,-13.71766193,7.96E-43,1.68E-41
ENSG00000181778.5,12.24858312,-1.817822023,0.158913135,-11.43909236,2.67E-30,3.04E-29
ENSG00000181965.6,0.195327999,-1.719385582,0.677246922,-2.538786852,0.011123757,0.01733585
NA.48,NA,NA,NA,NA,NA,NA
ENSG00000182035.12,9.561262239,-1.981221492,0.189550498,-10.45220936,1.43E-25,1.25E-24
NA.49,NA,NA,NA,NA,NA,NA
ENSG00000182183.15,32.11698067,-1.872748044,0.117427032,-15.94818514,2.93E-57,1.16E-55
ENSG00000182223.7,2.227438391,-3.257317157,0.18775374,-17.34888026,2.01E-67,1.18E-65
ENSG00000182240.16,644.451903,-1.25123114,0.087218132,-14.34599795,1.13E-46,2.81E-45
ENSG00000182326.15,4366.286166,-1.296902574,0.152982088,-8.477479893,2.30E-17,1.22E-16
ENSG00000182329.14,47.3800782,-2.588677821,0.172416525,-15.01409348,5.94E-51,1.78E-49
ENSG00000182333.15,1.994919847,-2.346434233,0.484755018,-4.840453721,1.30E-06,3.08E-06
ENSG00000182352.8,0.328750153,-1.025546628,0.312989362,-3.276618163,0.001050583,0.001866141
NA.50,NA,NA,NA,NA,NA,NA
ENSG00000182397.14,12.78631802,-2.025030662,0.137483256,-14.72928938,4.18E-49,1.16E-47
ENSG00000182447.4,4.504557194,-1.101319174,0.260983511,-4.219880291,2.44E-05,5.19E-05
ENSG00000182472.9,5.317608186,-1.292320586,0.144097843,-8.968354857,3.01E-19,1.79E-18
NA.51,NA,NA,NA,NA,NA,NA
ENSG00000182492.16,5695.571004,-1.526519323,0.125300167,-12.18289936,3.83E-34,5.28E-33
NA.52,NA,NA,NA,NA,NA,NA
ENSG00000182718.18,3882.297101,-1.961105566,0.13091669,-14.979798,9.95E-51,2.96E-49
ENSG00000182732.18,863.6965203,-1.270244991,0.149155043,-8.516272494,1.65E-17,8.83E-17
ENSG00000182742.6,48.33410362,-5.402106433,0.213856549,-25.26042083,8.70E-141,4.90E-138
ENSG00000182759.4,7.261496057,-2.147197522,0.198879283,-10.79648662,3.58E-27,3.45E-26
ENSG00000182798.10,4.62677868,-1.650242884,0.148864174,-11.08556098,1.47E-28,1.53E-27
ENSG00000182866.17,41.25052,-1.430745469,0.164879455,-8.677524266,4.04E-18,2.25E-17
ENSG00000182950.3,8.072170362,-1.530984522,0.124309746,-12.31588487,7.44E-35,1.07E-33
ENSG00000182963.11,587.5204825,-1.375650899,0.109949973,-12.51160745,6.45E-36,9.69E-35
ENSG00000183036.11,400.3140265,-1.355031854,0.185143861,-7.318805192,2.50E-13,1.01E-12
ENSG00000183072.10,33.02795791,-3.63150669,0.293368695,-12.37864419,3.41E-35,4.95E-34
ENSG00000183145.9,3.730335909,-2.253027166,0.184174673,-12.23309984,2.07E-34,2.89E-33
ENSG00000183153.7,32.5648091,-2.555737567,0.134228835,-19.04015306,7.93E-81,7.61E-79
ENSG00000183196.10,1210.04661,-2.031026733,0.127488404,-15.93107029,3.86E-57,1.51E-55
ENSG00000183242.12,5.754325583,-5.779986569,0.348091216,-16.60480442,6.43E-62,3.12E-60
ENSG00000183251.4,0.48754843,-1.132865857,0.265269772,-4.270617972,1.95E-05,4.18E-05
NA.53,NA,NA,NA,NA,NA,NA
ENSG00000183318.11,0.458010144,-1.23158311,0.29442943,-4.18294839,2.88E-05,6.06E-05
NA.54,NA,NA,NA,NA,NA,NA
ENSG00000183347.15,22.07289283,-1.560834579,0.169195924,-9.225012882,2.84E-20,1.82E-19
NA.55,NA,NA,NA,NA,NA,NA
ENSG00000183439.9,28.78611909,-2.038137588,0.101002757,-20.17902929,1.50E-90,1.95E-88
ENSG00000183486.13,376.222635,-1.358809715,0.163722394,-8.299473757,1.05E-16,5.35E-16
ENSG00000183631.5,36.52211663,-1.362144155,0.218255072,-6.241065285,4.35E-10,1.37E-09
