"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-DU-7012-01A-11R-2027-07",0,2411,3159,1,4,0,2321,0,8049,4,0,0,5,0,866,9,0,0,2,0,0,2,0,2506,0,0,2374,0,10806,1525,0,0,0,10518,561,0,0,15033,0,95,0,3,0,8,0,0,40,0,0,0
"TCGA-P5-A780-01A-12R-A32Q-07",0,1111,2798,3,24,1,228,0,18921,1,0,0,3,1,706,2,0,0,8,0,0,1,0,1041,1,0,1344,0,8320,193,0,0,0,5455,657,0,2,4792,0,454,0,1,1,2,0,0,161,0,1,0
"TCGA-HT-7482-01A-11R-2027-07",1,2573,4938,2,3,0,1005,0,7188,0,0,0,3,1,974,2,0,1,3,0,0,0,0,940,0,0,1953,0,8507,57,0,0,0,6156,357,0,0,14657,0,217,0,3,0,2,0,0,117,0,0,0
"TCGA-E1-A7Z4-01A-11R-A34R-07",0,1632,4637,7,6,0,528,3,12690,1,0,0,2,7,844,1,0,0,4,0,0,2,0,278,0,0,1124,0,4595,132,0,0,0,8384,969,0,8,7214,0,80,1,3,0,4,0,0,46,0,0,1
"TCGA-WY-A85C-01A-11R-A36H-07",0,1504,4978,7,15,0,261,0,24712,4,0,0,0,11,648,8,0,0,2,0,0,1,0,1278,0,0,1511,0,6712,139,0,0,0,4971,2907,0,1,6754,0,400,2,1,0,3,1,0,215,0,0,1
"TCGA-S9-A6U8-01A-21R-A33Z-07",1,2698,4484,12,79,1,870,0,15757,1,1,0,5,1,757,1,0,0,5,0,0,2,0,494,0,0,1713,0,6984,108,0,0,0,7432,2026,0,3,8116,0,344,1,0,1,2,0,0,155,0,0,1
"TCGA-HT-7610-01A-21R-2090-07",3,4084,2972,8,81,2,163,0,14723,0,2,0,15,4,847,33,0,0,5,0,0,5,0,3316,0,0,2208,1,9012,182,0,0,0,14733,8603,0,4,11742,0,654,0,3,0,5,0,0,96,0,1,1
"TCGA-HT-8110-01A-11R-2404-07",1,2347,4452,3,19,1,1358,0,10389,0,3,0,4,4,1343,5,0,0,6,0,0,3,0,1817,0,0,1664,0,9690,212,0,0,0,10790,909,0,2,6272,0,84,0,6,0,4,0,0,51,0,0,0
"TCGA-IK-8125-01A-11R-2256-07",3,2456,2860,8,11,0,372,1,19293,0,0,0,4,10,759,16,0,0,3,0,0,3,0,2732,0,0,1870,0,12040,228,0,0,0,9655,7136,0,0,9449,0,342,1,2,0,1,0,0,89,0,0,1
"TCGA-HW-A5KM-01A-11R-A27Q-07",0,2255,6158,2,3,0,5053,0,21261,0,0,0,4,6,1096,2,0,0,2,0,0,0,0,578,0,0,1986,0,11531,20,0,0,0,9627,901,0,1,15573,0,97,0,1,0,1,0,0,141,0,0,0
